shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3-109-mjp-3.10.R,-37.8103905707833,145.060870236454,37,5464.71
3-109-mjp-3.10.R,-37.8103905707833,145.060870236454,38,5464.71
3-109-mjp-3.10.R,-37.8100350872915,145.05789212179,39,5729.31
3-109-mjp-3.10.R,-37.8100350872915,145.05789212179,40,5729.31
3-109-mjp-3.10.R,-37.8094597776688,145.053068305819,41,6157.88
3-109-mjp-3.10.R,-37.8094597776688,145.053068305819,42,6157.88
3-109-mjp-3.10.R,-37.8090716223056,145.049761722775,43,6451.55
3-109-mjp-3.10.R,-37.8090716223056,145.049761722775,44,6451.55
3-109-mjp-3.10.R,-37.8086428224179,145.046183636985,45,6769.48
3-109-mjp-3.10.R,-37.8086428224179,145.046183636985,46,6769.48
3-109-mjp-3.10.R,-37.8083600244068,145.043805761971,47,6980.74
3-109-mjp-3.10.R,-37.8082439580894,145.042786542955,48,7071.2
3-109-mjp-3.10.R,-37.8082439580894,145.042786542955,49,7071.2
3-109-mjp-3.10.R,-37.8077271903311,145.038268103982,50,7472.29
3-109-mjp-3.10.R,-37.8077271903311,145.038268103982,51,7472.29
3-109-mjp-3.10.R,-37.8077162909853,145.03815480643,52,7482.32
3-109-mjp-3.10.R,-37.807411718276,145.03556175909,53,7712.63
3-109-mjp-3.10.R,-37.807411718276,145.03556175909,54,7712.63
3-109-mjp-3.10.R,-37.806917247329,145.031315436892,55,8089.71
3-109-mjp-3.10.R,-37.806917247329,145.031315436892,56,8089.71
3-109-mjp-3.10.R,-37.8068537085084,145.030749201568,57,8139.95
3-109-mjp-3.10.R,-37.8068518098515,145.030635667461,58,8149.93
3-109-mjp-3.10.R,-37.807403619797,145.029144397409,59,8294.6
3-109-mjp-3.10.R,-37.807403619797,145.029144397409,60,8294.6
3-109-mjp-3.10.R,-37.8074551965761,145.028995365024,61,8308.89
3-109-mjp-3.10.R,-37.807480319749,145.028881111526,62,8319.31
3-109-mjp-3.10.R,-37.807542044358,145.028799960286,63,8329.21
3-109-mjp-3.10.R,-37.8100438407866,145.026438921635,64,8676.21
3-109-mjp-3.10.R,-37.8100438407866,145.026438921635,65,8676.21
3-109-mjp-3.10.R,-37.8129268228981,145.023704057593,66,9076.82
3-109-mjp-3.10.R,-37.8129268228981,145.023704057593,67,9076.82
3-109-mjp-3.10.R,-37.8131309533684,145.023516863643,68,9104.85
3-109-mjp-3.10.R,-37.812796932247,145.020799527114,69,9346.43
3-109-mjp-3.10.R,-37.812796932247,145.020799527114,70,9346.43
3-109-mjp-3.10.R,-37.8122120546516,145.016032899577,71,9770.18
3-109-mjp-3.10.R,-37.8120003198111,145.01416429661,72,9936.01
3-109-mjp-3.10.R,-37.8117193666059,145.013001829792,73,10042.8
3-109-mjp-3.10.R,-37.8117092092825,145.012933947091,74,10048.87
3-109-mjp-3.10.R,-37.8117092092825,145.012933947091,75,10048.87
3-109-mjp-3.10.R,-37.8114006267734,145.010136517784,76,10297.0
3-109-mjp-3.10.R,-37.8114006267734,145.010136517784,77,10297.0
3-109-mjp-3.10.R,-37.8114000511698,145.010102455886,78,10299.99
3-109-mjp-3.10.R,-37.811455621591,145.009657958012,79,10339.53
3-109-mjp-3.10.R,-37.8112591126377,145.007629957534,80,10519.02
3-109-mjp-3.10.R,-37.8112591126377,145.007629957534,81,10519.02
3-109-mjp-3.10.R,-37.811042438225,145.005477561459,82,10709.63
3-109-mjp-3.10.R,-37.8109751197072,145.004695599064,83,10778.73
3-109-mjp-3.10.R,-37.8109313924448,145.004242414836,84,10818.84
3-109-mjp-3.10.R,-37.8109313924448,145.004242414836,85,10818.84
3-109-mjp-3.10.R,-37.8105847891744,145.000809977235,86,11122.82
3-109-mjp-3.10.R,-37.8105847891744,145.000809977235,87,11122.82
3-109-mjp-3.10.R,-37.8101101005467,144.996211067961,88,11530.27
3-109-mjp-3.10.R,-37.8101101005467,144.996211067961,89,11530.27
3-109-mjp-3.10.R,-37.8097554187091,144.992847081856,90,11828.41
3-109-mjp-3.10.R,-37.8097417661352,144.992574839587,91,11852.38
3-109-mjp-3.10.R,-37.8097417661352,144.992574839587,92,11852.38
3-109-mjp-3.10.R,-37.8097202667369,144.992370962951,93,11870.44
3-109-mjp-3.10.R,-37.8097319944775,144.990416926748,94,12042.11
3-109-mjp-3.10.R,-37.8097319944775,144.990416926748,95,12042.11
3-109-mjp-3.10.R,-37.8097373204801,144.99020096462,96,12061.09
3-109-mjp-3.10.R,-37.8092645513135,144.985738436033,97,12456.63
3-109-mjp-3.10.R,-37.8092645513135,144.985738436033,98,12456.63
3-109-mjp-3.10.R,-37.8088888339383,144.982216094769,99,12768.88
3-109-mjp-3.10.R,-37.8088888339383,144.982216094769,100,12768.88
3-109-mjp-3.10.R,-37.8085239685197,144.97880708136,101,13071.1
3-109-mjp-3.10.R,-37.8085239685197,144.97880708136,102,13071.1
3-109-mjp-3.10.R,-37.8083091125314,144.976791111674,103,13249.81
3-109-mjp-3.10.R,-37.808243751481,144.976134098416,104,13307.99
3-109-mjp-3.10.R,-37.808243751481,144.976134098416,105,13307.99
3-109-mjp-3.10.R,-37.8082122405405,144.975873711717,106,13331.13
3-109-mjp-3.10.R,-37.8093714827491,144.975683032146,107,13461.11
3-109-mjp-3.10.R,-37.8093714827491,144.975683032146,108,13461.11
3-109-mjp-3.10.R,-37.8107102896532,144.975453364072,109,13611.34
3-109-mjp-3.10.R,-37.8123788849696,144.974487687436,110,13815.36
3-109-mjp-3.10.R,-37.8123788849696,144.974487687436,111,13815.36
3-109-mjp-3.10.R,-37.8133158865887,144.973950907421,112,13929.72
3-109-mjp-3.10.R,-37.8135203436897,144.973263755069,113,13994.22
3-109-mjp-3.10.R,-37.8135203436897,144.973263755069,114,13994.22
3-109-mjp-3.10.R,-37.814328731909,144.970492647709,115,14253.72
3-109-mjp-3.10.R,-37.814328731909,144.970492647709,116,14253.72
3-109-mjp-3.10.R,-37.8154951769789,144.966541614874,117,14624.23
3-109-mjp-3.10.R,-37.8156653249615,144.965957601386,118,14678.91
3-109-mjp-3.10.R,-37.8156653249615,144.965957601386,119,14678.91
3-109-mjp-3.10.R,-37.8162184325732,144.964068055599,120,14855.92
3-109-mjp-3.10.R,-37.8164140192449,144.96339245329,121,14919.13
3-109-mjp-3.10.R,-37.8164140192449,144.96339245329,122,14919.13
3-109-mjp-3.10.R,-37.8175616139174,144.959407639277,123,15291.69
3-109-mjp-3.10.R,-37.8175616139174,144.959407639277,124,15291.69
3-109-mjp-3.10.R,-37.8188104545094,144.955033664133,125,15700.22
3-109-mjp-3.10.R,-37.8188104545094,144.955033664133,126,15700.22
3-109-mjp-3.10.R,-37.8190654886538,144.954151890109,127,15782.71
3-109-mjp-3.10.R,-37.8212636285079,144.955147721831,128,16042.31
3-109-mjp-3.10.R,-37.821409127672,144.95522322986,129,16059.79
3-109-mjp-3.10.R,-37.8217725796123,144.955394968426,130,16102.93
3-109-mjp-3.10.R,-37.8217725796123,144.955394968426,131,16102.93
3-109-mjp-3.10.R,-37.8235257984339,144.956198647725,132,16310.27
3-109-mjp-3.10.R,-37.823607653701,144.956241833034,133,16320.13
3-109-mjp-3.10.R,-37.823607653701,144.956241833034,134,16320.13
3-109-mjp-3.10.R,-37.8253428525325,144.957046047401,135,16525.6
3-109-mjp-3.10.R,-37.8255376659265,144.956847534319,136,16553.4
3-109-mjp-3.10.R,-37.8260760811543,144.956196452165,137,16636.2
3-109-mjp-3.10.R,-37.8260760811543,144.956196452165,138,16636.2
3-109-mjp-3.10.R,-37.8264378934837,144.955754738675,139,16692.09
3-109-mjp-3.10.R,-37.8265263902066,144.955661405629,140,16704.89
3-109-mjp-3.10.R,-37.8265878646055,144.955568818177,141,16715.52
3-109-mjp-3.10.R,-37.8266411203103,144.955521902863,142,16722.73
3-109-mjp-3.10.R,-37.8268347475543,144.955255246573,143,16754.54
3-109-mjp-3.10.R,-37.8269837315944,144.955012544228,144,16781.54
3-109-mjp-3.10.R,-37.8270103593275,144.954989086253,145,16785.15
3-109-mjp-3.10.R,-37.8270800515223,144.954850825027,146,16799.55
3-109-mjp-3.10.R,-37.8270978690765,144.954838971648,147,16801.79
3-109-mjp-3.10.R,-37.8273071418959,144.954435542314,148,16844.18
3-109-mjp-3.10.R,-37.8275586873432,144.953871882055,149,16901.04
3-109-mjp-3.10.R,-37.8276283781595,144.953733618791,150,16915.45
3-109-mjp-3.10.R,-37.8276544134819,144.95367609197,151,16921.27
3-109-mjp-3.10.R,-37.8276544134819,144.95367609197,152,16921.27
3-109-mjp-3.10.R,-37.8277669696664,144.953411667189,153,16947.65
3-109-mjp-3.10.R,-37.8290620563605,144.950671791168,154,17228.09
3-109-mjp-3.10.R,-37.8290790827346,144.950614511433,155,17233.46
3-109-mjp-3.10.R,-37.8291055118332,144.950579694957,156,17237.7
3-109-mjp-3.10.R,-37.8291225381607,144.950522415169,157,17243.08
3-109-mjp-3.10.R,-37.8291489672303,144.95048759864,158,17247.32
3-109-mjp-3.10.R,-37.829148571841,144.950464886107,159,17249.32
3-109-mjp-3.10.R,-37.8292272658388,144.950326367514,160,17264.3
3-109-mjp-3.10.R,-37.8292268704176,144.950303654959,161,17266.3
3-109-mjp-3.10.R,-37.8293842578407,144.950026616858,162,17296.27
3-109-mjp-3.10.R,-37.8293838623604,144.950003904258,163,17298.26
3-109-mjp-3.10.R,-37.8294541416679,144.949899703003,164,17310.3
3-109-mjp-3.10.R,-37.8294625557857,144.949865384749,165,17313.45
3-109-mjp-3.10.R,-37.8301547528362,144.948732759129,166,17439.23
3-109-mjp-3.10.R,-37.8301547528362,144.948732759129,167,17439.23
3-109-mjp-3.10.R,-37.8312938386898,144.946871917994,168,17645.99
3-109-mjp-3.10.R,-37.8312934425843,144.946849204854,169,17647.99
3-109-mjp-3.10.R,-37.8313809413603,144.946699072188,170,17664.37
3-109-mjp-3.10.R,-37.8314508213864,144.946572151848,171,17677.96
3-109-mjp-3.10.R,-37.8314504252217,144.946549438664,172,17679.96
3-109-mjp-3.10.R,-37.8314856623013,144.946503013291,173,17685.61
3-109-mjp-3.10.R,-37.831485266123,144.946480300098,174,17687.61
3-109-mjp-3.10.R,-37.8315205031735,144.94643387467,175,17693.26
3-109-mjp-3.10.R,-37.8315201069815,144.946411161467,176,17695.26
3-109-mjp-3.10.R,-37.8316949050226,144.946099537231,177,17728.82
3-109-mjp-3.10.R,-37.8317033179866,144.946065217546,178,17731.98
3-109-mjp-3.10.R,-37.8333943492058,144.943302708381,179,18038.93
3-109-mjp-3.10.R,-37.8333943492058,144.943302708381,180,18038.93
3-109-mjp-3.10.R,-37.8348224422606,144.940967800918,181,18298.28
3-109-mjp-3.10.R,-37.8369950200545,144.93740760739,182,18693.39
3-109-mjp-3.10.R,-37.8369950200545,144.93740760739,183,18693.39
3-109-mjp-3.10.R,-37.83751212011,144.936575066978,184,18786.4
3-109-mjp-3.10.R,-37.8377835813715,144.936124343385,185,18836.18
3-109-mjp-3.10.R,-37.8380464318349,144.935696582698,186,18883.77
3-109-mjp-3.10.R,-37.8380730553665,144.935673114263,187,18887.38
3-109-mjp-3.10.R,-37.8381517308976,144.935534563613,188,18902.37
3-109-mjp-3.10.R,-37.8383539186446,144.935244847963,189,18936.32
3-109-mjp-3.10.R,-37.8387767049168,144.934687624684,190,19004.17
3-109-mjp-3.10.R,-37.8390065101072,144.934431223408,191,19038.23
3-109-mjp-3.10.R,-37.8390239267965,144.934396647834,192,19041.83
3-109-mjp-3.10.R,-37.839183267582,144.934233116899,193,19064.64
3-109-mjp-3.10.R,-37.8392006842088,144.934198541197,194,19068.24
3-109-mjp-3.10.R,-37.8397319510777,144.933661004429,195,19143.86
3-109-mjp-3.10.R,-37.8404333561703,144.933061892794,196,19237.94
3-109-mjp-3.10.R,-37.8404691858078,144.933049529046,197,19242.07
3-109-mjp-3.10.R,-37.8405490546217,144.932979118482,198,19252.89
3-109-mjp-3.10.R,-37.8407894585844,144.932813317564,199,19283.33
3-109-mjp-3.3.H,-37.8130890135052,145.023165840774,1,0.0
3-109-mjp-3.3.H,-37.8131309533684,145.023516863643,2,31.19
3-109-mjp-3.3.H,-37.8102566033256,145.026228794987,3,429.82
3-109-mjp-3.3.H,-37.8102566033256,145.026228794987,4,429.82
3-109-mjp-3.3.H,-37.8076484280229,145.028694904117,5,791.82
3-109-mjp-3.3.H,-37.8076484280229,145.028694904117,6,791.82
3-109-mjp-3.3.H,-37.807542044358,145.028799960286,7,806.83
3-109-mjp-3.3.H,-37.807480319749,145.028881111526,8,816.72
3-109-mjp-3.3.H,-37.8074551965761,145.028995365024,9,827.14
3-109-mjp-3.3.H,-37.8068776941806,145.030566829041,10,979.4
3-109-mjp-3.3.H,-37.8068776941806,145.030566829041,11,979.4
3-109-mjp-3.3.H,-37.8068518098515,145.030635667461,12,986.1
3-109-mjp-3.3.H,-37.8068537085084,145.030749201568,13,996.08
3-109-mjp-3.3.H,-37.8069587826984,145.031643729499,14,1075.53
3-109-mjp-3.3.H,-37.8069587826984,145.031643729499,15,1075.53
3-109-mjp-3.3.H,-37.8073801487403,145.035289990663,16,1399.27
3-109-mjp-3.3.H,-37.8073801487403,145.035289990663,17,1399.27
3-109-mjp-3.3.H,-37.8076849165515,145.037894389111,18,1630.57
3-109-mjp-3.3.H,-37.8076849165515,145.037894389111,19,1630.57
3-109-mjp-3.3.H,-37.8081908031214,145.042299523221,20,2021.63
3-109-mjp-3.3.H,-37.8081908031214,145.042299523221,21,2021.63
3-109-mjp-3.3.H,-37.8083600244068,145.043805761971,22,2155.29
3-109-mjp-3.3.H,-37.8086007619367,145.045821265679,23,2334.37
3-109-mjp-3.3.H,-37.8086007619367,145.045821265679,24,2334.37
3-109-mjp-3.3.H,-37.8090092998733,145.049263574556,25,2640.17
3-109-mjp-3.3.H,-37.8090092998733,145.049263574556,26,2640.17
3-109-mjp-3.3.H,-37.8094389457937,145.052898469661,27,2963.05
3-109-mjp-3.3.H,-37.8094389457937,145.052898469661,28,2963.05
3-109-mjp-3.3.H,-37.8100131386413,145.057654158192,29,3385.69
3-109-mjp-3.3.H,-37.8100131386413,145.057654158192,30,3385.69
3-109-mjp-3.3.H,-37.8103481810446,145.060485138037,31,3637.16
3-109-mjp-3.3.H,-37.8103481810446,145.060485138037,32,3637.16
3-109-mjp-3.3.H,-37.8103695630599,145.060689041336,33,3655.23
3-109-mjp-3.3.H,-37.810841237034,145.064709187942,34,4012.27
3-109-mjp-3.3.H,-37.810841237034,145.064709187942,35,4012.27
3-109-mjp-3.3.H,-37.8113002286768,145.068513893664,36,4350.38
3-109-mjp-3.3.H,-37.8113002286768,145.068513893664,37,4350.38
3-109-mjp-3.3.H,-37.8116443925309,145.071367457309,38,4603.96
3-109-mjp-3.3.H,-37.8116443925309,145.071367457309,39,4603.96
3-109-mjp-3.3.H,-37.8121760631085,145.075772406963,40,4995.41
3-109-mjp-3.3.H,-37.8121760631085,145.075772406963,41,4995.41
3-109-mjp-3.3.H,-37.8128229462368,145.081174070166,42,5475.35
3-109-mjp-3.3.H,-37.8128229462368,145.081174070166,43,5475.35
3-109-mjp-3.3.H,-37.8131239372134,145.083608570719,44,5691.81
3-109-mjp-3.3.H,-37.8131239372134,145.083608570719,45,5691.81
3-109-mjp-3.3.H,-37.8136146965684,145.08774212908,46,6059.0
3-109-mjp-3.3.H,-37.8136146965684,145.08774212908,47,6059.0
3-109-mjp-3.3.H,-37.8140929918843,145.091671591476,48,6408.26
3-109-mjp-3.3.H,-37.8140929918843,145.091671591476,49,6408.26
3-109-mjp-3.3.H,-37.8144676667136,145.094774509111,50,6684.0
3-109-mjp-3.3.H,-37.8144676667136,145.094774509111,51,6684.0
3-109-mjp-3.3.H,-37.8149993866782,145.099236606854,52,7080.4
3-109-mjp-3.3.H,-37.8149993866782,145.099236606854,53,7080.4
3-109-mjp-3.3.H,-37.815155215076,145.100516272524,54,7194.14
3-109-mjp-3.3.H,-37.8151877343514,145.10085623454,55,7224.22
3-109-mjp-3.3.H,-37.8154673793296,145.103109687398,56,7424.6
3-109-mjp-3.3.H,-37.8154673793296,145.103109687398,57,7424.6
3-109-mjp-3.3.H,-37.815518639196,145.103494612124,58,7458.89
3-109-mjp-3.3.H,-37.81622706481,145.109440492633,59,7987.09
3-109-mjp-3.3.H,-37.81622706481,145.109440492633,60,7987.09
3-109-mjp-3.3.H,-37.8169562991231,145.115579085027,61,8532.38
3-109-mjp-3.3.H,-37.8169562991231,145.115579085027,62,8532.38
3-109-mjp-3.3.H,-37.8171440609882,145.117176095238,63,8674.21
3-109-mjp-3.3.H,-37.8173238178951,145.118273467969,64,8772.65
3-109-mjp-3.3.H,-37.817501810007,145.119825300449,65,8910.4
3-109-mjp-3.3.H,-37.8175021726416,145.119848011723,66,8912.39
3-109-mjp-3.3.H,-37.8175021726416,145.119848011723,67,8912.39
3-109-mjp-3.3.H,-37.8176301577886,145.120526379882,68,8973.66
3-109-mjp-3.3.H,-37.8178755249435,145.122349164379,69,9136.08
3-109-mjp-3.4.H,-37.8407894585844,144.932813317564,1,0.0
3-109-mjp-3.4.H,-37.8405490546217,144.932979118482,2,30.44
3-109-mjp-3.4.H,-37.8404691858078,144.933049529046,3,41.26
3-109-mjp-3.4.H,-37.8404333561703,144.933061892794,4,45.39
3-109-mjp-3.4.H,-37.8397319510777,144.933661004429,5,139.47
3-109-mjp-3.4.H,-37.8392006842088,144.934198541197,6,215.09
3-109-mjp-3.4.H,-37.839183267582,144.934233116899,7,218.69
3-109-mjp-3.4.H,-37.8390239267965,144.934396647834,8,241.49
3-109-mjp-3.4.H,-37.8390065101072,144.934431223408,9,245.09
3-109-mjp-3.4.H,-37.8387767049168,144.934687624684,10,279.15
3-109-mjp-3.4.H,-37.8383539186446,144.935244847963,11,347.01
3-109-mjp-3.4.H,-37.8381517308976,144.935534563613,12,380.96
3-109-mjp-3.4.H,-37.8380730553665,144.935673114263,13,395.95
3-109-mjp-3.4.H,-37.8380464318349,144.935696582698,14,399.55
3-109-mjp-3.4.H,-37.8377835813715,144.936124343385,15,447.15
3-109-mjp-3.4.H,-37.83751212011,144.936575066978,16,496.93
3-109-mjp-3.4.H,-37.8371091299168,144.937233984679,17,570.11
3-109-mjp-3.4.H,-37.8371091299168,144.937233984679,18,570.11
3-109-mjp-3.4.H,-37.8348224422606,144.940967800918,19,985.05
3-109-mjp-3.4.H,-37.8332541997149,144.943533847813,20,1269.99
3-109-mjp-3.4.H,-37.8332541997149,144.943533847813,21,1269.99
3-109-mjp-3.4.H,-37.8331314693334,144.943730415689,22,1291.99
3-109-mjp-3.4.H,-37.8317033179866,144.946065217546,23,1551.35
3-109-mjp-3.4.H,-37.8316949050226,144.946099537231,24,1554.5
3-109-mjp-3.4.H,-37.8315201069815,144.946411161467,25,1588.07
3-109-mjp-3.4.H,-37.8315205031735,144.94643387467,26,1590.06
3-109-mjp-3.4.H,-37.831485266123,144.946480300098,27,1595.72
3-109-mjp-3.4.H,-37.8314856623013,144.946503013291,28,1597.71
3-109-mjp-3.4.H,-37.8314504252217,144.946549438664,29,1603.37
3-109-mjp-3.4.H,-37.8314508213864,144.946572151848,30,1605.36
3-109-mjp-3.4.H,-37.8313809413603,144.946699072188,31,1618.95
3-109-mjp-3.4.H,-37.8312934425843,144.946849204854,32,1635.34
3-109-mjp-3.4.H,-37.8312938386898,144.946871917994,33,1637.33
3-109-mjp-3.4.H,-37.830286103694,144.948513244942,34,1819.91
3-109-mjp-3.4.H,-37.830286103694,144.948513244942,35,1819.91
3-109-mjp-3.4.H,-37.8298305807558,144.949264381979,36,1903.08
3-109-mjp-3.4.H,-37.8294625557857,144.949865384749,37,1969.87
3-109-mjp-3.4.H,-37.8294541416679,144.949899703003,38,1973.03
3-109-mjp-3.4.H,-37.8293838623604,144.950003904258,39,1985.06
3-109-mjp-3.4.H,-37.8293842578407,144.950026616858,40,1987.06
3-109-mjp-3.4.H,-37.8292268704176,144.950303654959,41,2017.03
3-109-mjp-3.4.H,-37.8292272658388,144.950326367514,42,2019.03
3-109-mjp-3.4.H,-37.829148571841,144.950464886107,43,2034.01
3-109-mjp-3.4.H,-37.8291489672303,144.95048759864,44,2036.01
3-109-mjp-3.4.H,-37.8291225381607,144.950522415169,45,2040.25
3-109-mjp-3.4.H,-37.8291055118332,144.950579694957,46,2045.62
3-109-mjp-3.4.H,-37.8290790827346,144.950614511433,47,2049.86
3-109-mjp-3.4.H,-37.8290620563605,144.950671791168,48,2055.24
3-109-mjp-3.4.H,-37.8277669696664,144.953411667189,49,2335.67
3-109-mjp-3.4.H,-37.8276283781595,144.953733618791,50,2367.88
3-109-mjp-3.4.H,-37.8275586873432,144.953871882055,51,2382.28
3-109-mjp-3.4.H,-37.8274980037601,144.95400989626,52,2396.16
3-109-mjp-3.4.H,-37.8274980037601,144.95400989626,53,2396.16
3-109-mjp-3.4.H,-37.8273071418959,144.954435542314,54,2439.14
3-109-mjp-3.4.H,-37.8270978690765,144.954838971648,55,2481.53
3-109-mjp-3.4.H,-37.8270800515223,144.954850825027,56,2483.77
3-109-mjp-3.4.H,-37.8270103593275,144.954989086253,57,2498.18
3-109-mjp-3.4.H,-37.8269837315944,144.955012544228,58,2501.78
3-109-mjp-3.4.H,-37.8268347475543,144.955255246573,59,2528.78
3-109-mjp-3.4.H,-37.8266411203103,144.955521902863,60,2560.59
3-109-mjp-3.4.H,-37.8265878646055,144.955568818177,61,2567.81
3-109-mjp-3.4.H,-37.8265263902066,144.955661405629,62,2578.43
3-109-mjp-3.4.H,-37.8264378934837,144.955754738675,63,2591.24
3-109-mjp-3.4.H,-37.8256788285861,144.956673222543,64,2707.99
3-109-mjp-3.4.H,-37.8256788285861,144.956673222543,65,2707.99
3-109-mjp-3.4.H,-37.8255376659265,144.956847534319,66,2729.92
3-109-mjp-3.4.H,-37.8253428525325,144.957046047401,67,2757.73
3-109-mjp-3.4.H,-37.8235257984339,144.956198647725,68,2973.05
3-109-mjp-3.4.H,-37.8235257984339,144.956198647725,69,2973.05
3-109-mjp-3.4.H,-37.8225174976668,144.955737953305,70,3092.25
3-109-mjp-3.4.H,-37.8215454221757,144.955287631633,71,3207.35
3-109-mjp-3.4.H,-37.8215454221757,144.955287631633,72,3207.35
3-109-mjp-3.4.H,-37.821409127672,144.95522322986,73,3223.52
3-109-mjp-3.4.H,-37.8212636285079,144.955147721831,74,3241.01
3-109-mjp-3.4.H,-37.8211001144611,144.955072711323,75,3260.35
3-109-mjp-3.4.H,-37.8190654886538,144.954151890109,76,3500.61
3-109-mjp-3.4.H,-37.8187681782188,144.955193873067,77,3597.92
3-109-mjp-3.4.H,-37.8187681782188,144.955193873067,78,3597.92
3-109-mjp-3.4.H,-37.8176465716775,144.959109939934,79,3963.82
3-109-mjp-3.4.H,-37.8174085306146,144.959934412822,80,4040.93
3-109-mjp-3.4.H,-37.8174085306146,144.959934412822,81,4040.93
3-109-mjp-3.4.H,-37.816269532398,144.963896254869,82,4411.27
3-109-mjp-3.4.H,-37.816269532398,144.963896254869,83,4411.27
3-109-mjp-3.4.H,-37.8155633149729,144.966312551506,84,4637.58
3-109-mjp-3.4.H,-37.8155633149729,144.966312551506,85,4637.58
3-109-mjp-3.4.H,-37.8142609768997,144.970744411993,86,5052.96
3-109-mjp-3.4.H,-37.8142609768997,144.970744411993,87,5052.96
3-109-mjp-3.4.H,-37.813443379653,144.973504406592,88,5311.89
3-109-mjp-3.4.H,-37.813443379653,144.973504406592,89,5311.89
3-109-mjp-3.4.H,-37.8133158865887,144.973950907421,90,5353.6
3-109-mjp-3.4.H,-37.8122451389513,144.974570857065,91,5484.52
3-109-mjp-3.4.H,-37.8122451389513,144.974570857065,92,5484.52
3-109-mjp-3.4.H,-37.8107102896532,144.975453364072,93,5671.97
3-109-mjp-3.4.H,-37.8096859663697,144.975629007915,94,5786.91
3-109-mjp-3.4.H,-37.8096859663697,144.975629007915,95,5786.91
3-109-mjp-3.4.H,-37.8082122405405,144.975873711717,96,5952.19
3-109-mjp-3.4.H,-37.808276042262,144.976439898374,97,6002.43
3-109-mjp-3.4.H,-37.808276042262,144.976439898374,98,6002.43
3-109-mjp-3.4.H,-37.8083091125314,144.976791111674,99,6033.5
3-109-mjp-3.4.H,-37.8084709399479,144.978342824234,100,6171.01
3-109-mjp-3.4.H,-37.8084709399479,144.978342824234,101,6171.01
3-109-mjp-3.4.H,-37.8089635579097,144.982895582301,102,6574.7
3-109-mjp-3.4.H,-37.8089635579097,144.982895582301,103,6574.7
3-109-mjp-3.4.H,-37.8093073783875,144.986134828576,104,6861.83
3-109-mjp-3.4.H,-37.8093073783875,144.986134828576,105,6861.83
3-109-mjp-3.4.H,-37.8097373204801,144.99020096462,106,7222.22
3-109-mjp-3.4.H,-37.8097358694517,144.990643998243,107,7261.15
3-109-mjp-3.4.H,-37.8097358694517,144.990643998243,108,7261.15
3-109-mjp-3.4.H,-37.8097202667369,144.992370962951,109,7412.87
3-109-mjp-3.4.H,-37.8097423467854,144.992608900358,110,7433.91
