SA2_CODE_2021,SA2_NAME_2021,TR_CODE_2021,TR_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
107041150,Woonona - Bulli - Russell Vale,1R010,South Coast,1,New South Wales,AUS,Australia,15.7847,http://linked.data.gov.au/dataset/asgsed3/SA2/107041150
107011545,Berkeley - Lake Heights - Cringila,1R010,South Coast,1,New South Wales,AUS,Australia,12.5307,http://linked.data.gov.au/dataset/asgsed3/SA2/107011545
101041017,Batemans Bay,1R010,South Coast,1,New South Wales,AUS,Australia,63.7073,http://linked.data.gov.au/dataset/asgsed3/SA2/101041017
114011279,St Georges Basin - Erowal Bay,1R010,South Coast,1,New South Wales,AUS,Australia,76.8594,http://linked.data.gov.au/dataset/asgsed3/SA2/114011279
114011280,Sussex Inlet - Berrara,1R010,South Coast,1,New South Wales,AUS,Australia,40.4363,http://linked.data.gov.au/dataset/asgsed3/SA2/114011280
114011281,Tomerong - Wandandian - Woollamia,1R010,South Coast,1,New South Wales,AUS,Australia,375.9761,http://linked.data.gov.au/dataset/asgsed3/SA2/114011281
114011282,Ulladulla,1R010,South Coast,1,New South Wales,AUS,Australia,46.7765,http://linked.data.gov.au/dataset/asgsed3/SA2/114011282
114011283,Ulladulla Surrounds,1R010,South Coast,1,New South Wales,AUS,Australia,677.6148,http://linked.data.gov.au/dataset/asgsed3/SA2/114011283
114011278,Nowra,1R010,South Coast,1,New South Wales,AUS,Australia,101.6799,http://linked.data.gov.au/dataset/asgsed3/SA2/114011278
101041018,Batemans Bay - South,1R010,South Coast,1,New South Wales,AUS,Australia,30.5948,http://linked.data.gov.au/dataset/asgsed3/SA2/101041018
101041019,Bega - Tathra,1R010,South Coast,1,New South Wales,AUS,Australia,183.8984,http://linked.data.gov.au/dataset/asgsed3/SA2/101041019
101041020,Bega-Eden Hinterland,1R010,South Coast,1,New South Wales,AUS,Australia,4709.8265,http://linked.data.gov.au/dataset/asgsed3/SA2/101041020
101041021,Broulee - Tomakin,1R010,South Coast,1,New South Wales,AUS,Australia,24.2329,http://linked.data.gov.au/dataset/asgsed3/SA2/101041021
101041022,Deua - Wadbilliga,1R010,South Coast,1,New South Wales,AUS,Australia,2781.9988,http://linked.data.gov.au/dataset/asgsed3/SA2/101041022
101041023,Eden,1R010,South Coast,1,New South Wales,AUS,Australia,94.8138,http://linked.data.gov.au/dataset/asgsed3/SA2/101041023
107011131,Dapto - Avondale,1R010,South Coast,1,New South Wales,AUS,Australia,56.6003,http://linked.data.gov.au/dataset/asgsed3/SA2/107011131
107011132,Horsley - Kembla Grange,1R010,South Coast,1,New South Wales,AUS,Australia,44.2402,http://linked.data.gov.au/dataset/asgsed3/SA2/107011132
107011133,Port Kembla Industrial,1R010,South Coast,1,New South Wales,AUS,Australia,12.939,http://linked.data.gov.au/dataset/asgsed3/SA2/107011133
107011134,Unanderra - Mount Kembla,1R010,South Coast,1,New South Wales,AUS,Australia,25.1483,http://linked.data.gov.au/dataset/asgsed3/SA2/107011134
107011546,Port Kembla - Warrawong,1R010,South Coast,1,New South Wales,AUS,Australia,6.9708,http://linked.data.gov.au/dataset/asgsed3/SA2/107011546
107011547,Windang - Primbee,1R010,South Coast,1,New South Wales,AUS,Australia,5.5883,http://linked.data.gov.au/dataset/asgsed3/SA2/107011547
107021135,Illawarra Catchment Reserve,1R010,South Coast,1,New South Wales,AUS,Australia,744.3423,http://linked.data.gov.au/dataset/asgsed3/SA2/107021135
107031136,Albion Park - Macquarie Pass,1R010,South Coast,1,New South Wales,AUS,Australia,75.1254,http://linked.data.gov.au/dataset/asgsed3/SA2/107031136
107031137,Albion Park Rail,1R010,South Coast,1,New South Wales,AUS,Australia,7.1682,http://linked.data.gov.au/dataset/asgsed3/SA2/107031137
107031138,Kiama,1R010,South Coast,1,New South Wales,AUS,Australia,13.8553,http://linked.data.gov.au/dataset/asgsed3/SA2/107031138
107031139,Kiama Downs - Minnamurra,1R010,South Coast,1,New South Wales,AUS,Australia,7.261,http://linked.data.gov.au/dataset/asgsed3/SA2/107031139
107031140,Kiama Hinterland - Gerringong,1R010,South Coast,1,New South Wales,AUS,Australia,222.2611,http://linked.data.gov.au/dataset/asgsed3/SA2/107031140
107031141,Shellharbour - Flinders,1R010,South Coast,1,New South Wales,AUS,Australia,49.5813,http://linked.data.gov.au/dataset/asgsed3/SA2/107031141
107031142,Shellharbour - Oak Flats,1R010,South Coast,1,New South Wales,AUS,Australia,6.051,http://linked.data.gov.au/dataset/asgsed3/SA2/107031142
107031143,Warilla,1R010,South Coast,1,New South Wales,AUS,Australia,9.4949,http://linked.data.gov.au/dataset/asgsed3/SA2/107031143
107041144,Balgownie - Fairy Meadow,1R010,South Coast,1,New South Wales,AUS,Australia,12.2638,http://linked.data.gov.au/dataset/asgsed3/SA2/107041144
107041145,Corrimal - Tarrawanna - Bellambi,1R010,South Coast,1,New South Wales,AUS,Australia,11.0648,http://linked.data.gov.au/dataset/asgsed3/SA2/107041145
107041146,Figtree - Keiraville,1R010,South Coast,1,New South Wales,AUS,Australia,18.8129,http://linked.data.gov.au/dataset/asgsed3/SA2/107041146
107041147,Helensburgh,1R010,South Coast,1,New South Wales,AUS,Australia,154.8373,http://linked.data.gov.au/dataset/asgsed3/SA2/107041147
107041148,Thirroul - Austinmer - Coalcliff,1R010,South Coast,1,New South Wales,AUS,Australia,16.1558,http://linked.data.gov.au/dataset/asgsed3/SA2/107041148
117011321,Botany,1R040,Sydney,1,New South Wales,AUS,Australia,3.4307,http://linked.data.gov.au/dataset/asgsed3/SA2/117011321
119041382,Sans Souci - Ramsgate,1R040,Sydney,1,New South Wales,AUS,Australia,4.6115,http://linked.data.gov.au/dataset/asgsed3/SA2/119041382
119041668,Arncliffe - Bardwell Valley,1R040,Sydney,1,New South Wales,AUS,Australia,4.313,http://linked.data.gov.au/dataset/asgsed3/SA2/119041668
119041669,Bexley - North,1R040,Sydney,1,New South Wales,AUS,Australia,2.6007,http://linked.data.gov.au/dataset/asgsed3/SA2/119041669
119041670,Bexley - South,1R040,Sydney,1,New South Wales,AUS,Australia,2.6771,http://linked.data.gov.au/dataset/asgsed3/SA2/119041670
119041671,Wolli Creek,1R040,Sydney,1,New South Wales,AUS,Australia,0.6795,http://linked.data.gov.au/dataset/asgsed3/SA2/119041671
120011383,Concord - Mortlake - Cabarita,1R040,Sydney,1,New South Wales,AUS,Australia,6.3199,http://linked.data.gov.au/dataset/asgsed3/SA2/120011383
120011385,Drummoyne - Rodd Point,1R040,Sydney,1,New South Wales,AUS,Australia,3.7047,http://linked.data.gov.au/dataset/asgsed3/SA2/120011385
120011386,Five Dock - Abbotsford,1R040,Sydney,1,New South Wales,AUS,Australia,4.6202,http://linked.data.gov.au/dataset/asgsed3/SA2/120011386
120011672,Concord West - North Strathfield,1R040,Sydney,1,New South Wales,AUS,Australia,4.0969,http://linked.data.gov.au/dataset/asgsed3/SA2/120011672
119031370,Narwee - Beverly Hills,1R040,Sydney,1,New South Wales,AUS,Australia,3.3909,http://linked.data.gov.au/dataset/asgsed3/SA2/119031370
119031371,Oatley - Hurstville Grove,1R040,Sydney,1,New South Wales,AUS,Australia,4.3549,http://linked.data.gov.au/dataset/asgsed3/SA2/119031371
119031373,Riverwood,1R040,Sydney,1,New South Wales,AUS,Australia,2.7319,http://linked.data.gov.au/dataset/asgsed3/SA2/119031373
119031374,South Hurstville - Blakehurst,1R040,Sydney,1,New South Wales,AUS,Australia,6.2406,http://linked.data.gov.au/dataset/asgsed3/SA2/119031374
119031664,Hurstville - Central,1R040,Sydney,1,New South Wales,AUS,Australia,1.2264,http://linked.data.gov.au/dataset/asgsed3/SA2/119031664
119031665,Hurstville - North,1R040,Sydney,1,New South Wales,AUS,Australia,2.4137,http://linked.data.gov.au/dataset/asgsed3/SA2/119031665
119031666,Mortdale - Oatley,1R040,Sydney,1,New South Wales,AUS,Australia,4.4442,http://linked.data.gov.au/dataset/asgsed3/SA2/119031666
119031667,Penshurst,1R040,Sydney,1,New South Wales,AUS,Australia,1.6722,http://linked.data.gov.au/dataset/asgsed3/SA2/119031667
119041377,Kingsgrove (South) - Bardwell Park,1R040,Sydney,1,New South Wales,AUS,Australia,3.7871,http://linked.data.gov.au/dataset/asgsed3/SA2/119041377
119011356,Condell Park,1R040,Sydney,1,New South Wales,AUS,Australia,10.0036,http://linked.data.gov.au/dataset/asgsed3/SA2/119011356
119011358,Padstow,1R040,Sydney,1,New South Wales,AUS,Australia,6.5091,http://linked.data.gov.au/dataset/asgsed3/SA2/119011358
119011360,Revesby,1R040,Sydney,1,New South Wales,AUS,Australia,5.0925,http://linked.data.gov.au/dataset/asgsed3/SA2/119011360
119011361,Yagoona - Birrong,1R040,Sydney,1,New South Wales,AUS,Australia,5.5597,http://linked.data.gov.au/dataset/asgsed3/SA2/119011361
119011571,Bankstown - North,1R040,Sydney,1,New South Wales,AUS,Australia,2.7405,http://linked.data.gov.au/dataset/asgsed3/SA2/119011571
119011572,Bankstown - South,1R040,Sydney,1,New South Wales,AUS,Australia,4.4232,http://linked.data.gov.au/dataset/asgsed3/SA2/119011572
119011655,Greenacre - North,1R040,Sydney,1,New South Wales,AUS,Australia,4.0802,http://linked.data.gov.au/dataset/asgsed3/SA2/119011655
119011656,Greenacre - South,1R040,Sydney,1,New South Wales,AUS,Australia,2.9017,http://linked.data.gov.au/dataset/asgsed3/SA2/119011656
119011657,Panania (North) - Milperra,1R040,Sydney,1,New South Wales,AUS,Australia,7.5649,http://linked.data.gov.au/dataset/asgsed3/SA2/119011657
119011658,Panania (South) - Picnic Point,1R040,Sydney,1,New South Wales,AUS,Australia,6.8259,http://linked.data.gov.au/dataset/asgsed3/SA2/119011658
119021362,Belmore - Belfield,1R040,Sydney,1,New South Wales,AUS,Australia,4.5136,http://linked.data.gov.au/dataset/asgsed3/SA2/119021362
119021366,Punchbowl,1R040,Sydney,1,New South Wales,AUS,Australia,5.2458,http://linked.data.gov.au/dataset/asgsed3/SA2/119021366
119021367,Roselands,1R040,Sydney,1,New South Wales,AUS,Australia,3.6461,http://linked.data.gov.au/dataset/asgsed3/SA2/119021367
119021573,Lakemba,1R040,Sydney,1,New South Wales,AUS,Australia,2.1866,http://linked.data.gov.au/dataset/asgsed3/SA2/119021573
121011399,Chatswood (West) - Lane Cove North,1R040,Sydney,1,New South Wales,AUS,Australia,5.5372,http://linked.data.gov.au/dataset/asgsed3/SA2/121011399
121011401,St Leonards - Naremburn,1R040,Sydney,1,New South Wales,AUS,Australia,2.761,http://linked.data.gov.au/dataset/asgsed3/SA2/121011401
121011682,Artarmon,1R040,Sydney,1,New South Wales,AUS,Australia,1.6583,http://linked.data.gov.au/dataset/asgsed3/SA2/121011682
121011683,Castle Cove - Northbridge,1R040,Sydney,1,New South Wales,AUS,Australia,7.6847,http://linked.data.gov.au/dataset/asgsed3/SA2/121011683
121011684,Chatswood - East,1R040,Sydney,1,New South Wales,AUS,Australia,3.4093,http://linked.data.gov.au/dataset/asgsed3/SA2/121011684
121011685,Greenwich - Riverview,1R040,Sydney,1,New South Wales,AUS,Australia,4.5871,http://linked.data.gov.au/dataset/asgsed3/SA2/121011685
121011686,Lane Cove,1R040,Sydney,1,New South Wales,AUS,Australia,4.4686,http://linked.data.gov.au/dataset/asgsed3/SA2/121011686
121011687,Willoughby,1R040,Sydney,1,New South Wales,AUS,Australia,3.0671,http://linked.data.gov.au/dataset/asgsed3/SA2/121011687
121021403,Asquith - Mount Colah,1R040,Sydney,1,New South Wales,AUS,Australia,34.6889,http://linked.data.gov.au/dataset/asgsed3/SA2/121021403
121021404,Berowra - Brooklyn - Cowan,1R040,Sydney,1,New South Wales,AUS,Australia,81.7548,http://linked.data.gov.au/dataset/asgsed3/SA2/121021404
121021406,Normanhurst - Thornleigh - Westleigh,1R040,Sydney,1,New South Wales,AUS,Australia,9.9882,http://linked.data.gov.au/dataset/asgsed3/SA2/121021406
121021577,Hornsby - East,1R040,Sydney,1,New South Wales,AUS,Australia,2.5688,http://linked.data.gov.au/dataset/asgsed3/SA2/121021577
121021578,Hornsby - West,1R040,Sydney,1,New South Wales,AUS,Australia,6.2858,http://linked.data.gov.au/dataset/asgsed3/SA2/121021578
121021579,Wahroonga (West) - Waitara,1R040,Sydney,1,New South Wales,AUS,Australia,2.1124,http://linked.data.gov.au/dataset/asgsed3/SA2/121021579
121031407,Gordon - Killara,1R040,Sydney,1,New South Wales,AUS,Australia,11.6713,http://linked.data.gov.au/dataset/asgsed3/SA2/121031407
121031408,Lindfield - Roseville,1R040,Sydney,1,New South Wales,AUS,Australia,11.8765,http://linked.data.gov.au/dataset/asgsed3/SA2/121031408
121031409,Pymble,1R040,Sydney,1,New South Wales,AUS,Australia,10.2515,http://linked.data.gov.au/dataset/asgsed3/SA2/121031409
121031410,St Ives,1R040,Sydney,1,New South Wales,AUS,Australia,17.7774,http://linked.data.gov.au/dataset/asgsed3/SA2/121031410
121031411,Turramurra,1R040,Sydney,1,New South Wales,AUS,Australia,20.6426,http://linked.data.gov.au/dataset/asgsed3/SA2/121031411
121031412,Wahroonga (East) - Warrawee,1R040,Sydney,1,New South Wales,AUS,Australia,13.327,http://linked.data.gov.au/dataset/asgsed3/SA2/121031412
121041413,Cremorne - Cammeray,1R040,Sydney,1,New South Wales,AUS,Australia,3.238,http://linked.data.gov.au/dataset/asgsed3/SA2/121041413
121041414,Crows Nest - Waverton,1R040,Sydney,1,New South Wales,AUS,Australia,2.9668,http://linked.data.gov.au/dataset/asgsed3/SA2/121041414
121041416,Neutral Bay - Kirribilli,1R040,Sydney,1,New South Wales,AUS,Australia,2.2116,http://linked.data.gov.au/dataset/asgsed3/SA2/121041416
121041417,North Sydney - Lavender Bay,1R040,Sydney,1,New South Wales,AUS,Australia,1.9142,http://linked.data.gov.au/dataset/asgsed3/SA2/121041417
121041688,Mosman - North,1R040,Sydney,1,New South Wales,AUS,Australia,3.2831,http://linked.data.gov.au/dataset/asgsed3/SA2/121041688
120011673,Rhodes,1R040,Sydney,1,New South Wales,AUS,Australia,1.006,http://linked.data.gov.au/dataset/asgsed3/SA2/120011673
120021387,Balmain,1R040,Sydney,1,New South Wales,AUS,Australia,2.5815,http://linked.data.gov.au/dataset/asgsed3/SA2/120021387
120021389,Lilyfield - Rozelle,1R040,Sydney,1,New South Wales,AUS,Australia,3.6039,http://linked.data.gov.au/dataset/asgsed3/SA2/120021389
120021674,Annandale (NSW),1R040,Sydney,1,New South Wales,AUS,Australia,1.4885,http://linked.data.gov.au/dataset/asgsed3/SA2/120021674
120021675,Leichhardt,1R040,Sydney,1,New South Wales,AUS,Australia,2.9838,http://linked.data.gov.au/dataset/asgsed3/SA2/120021675
120031392,Canterbury (North) - Ashbury,1R040,Sydney,1,New South Wales,AUS,Australia,3.0278,http://linked.data.gov.au/dataset/asgsed3/SA2/120031392
120031393,Croydon Park - Enfield,1R040,Sydney,1,New South Wales,AUS,Australia,3.9711,http://linked.data.gov.au/dataset/asgsed3/SA2/120031393
120031394,Dulwich Hill - Lewisham,1R040,Sydney,1,New South Wales,AUS,Australia,2.7016,http://linked.data.gov.au/dataset/asgsed3/SA2/120031394
120031395,Haberfield - Summer Hill,1R040,Sydney,1,New South Wales,AUS,Australia,3.4746,http://linked.data.gov.au/dataset/asgsed3/SA2/120031395
120031396,Homebush,1R040,Sydney,1,New South Wales,AUS,Australia,3.8432,http://linked.data.gov.au/dataset/asgsed3/SA2/120031396
120031576,Strathfield South,1R040,Sydney,1,New South Wales,AUS,Australia,2.5112,http://linked.data.gov.au/dataset/asgsed3/SA2/120031576
120031676,Ashfield - North,1R040,Sydney,1,New South Wales,AUS,Australia,1.5609,http://linked.data.gov.au/dataset/asgsed3/SA2/120031676
120031677,Ashfield - South,1R040,Sydney,1,New South Wales,AUS,Australia,2.1091,http://linked.data.gov.au/dataset/asgsed3/SA2/120031677
120031678,Burwood (NSW),1R040,Sydney,1,New South Wales,AUS,Australia,1.905,http://linked.data.gov.au/dataset/asgsed3/SA2/120031678
120031679,Croydon,1R040,Sydney,1,New South Wales,AUS,Australia,2.5877,http://linked.data.gov.au/dataset/asgsed3/SA2/120031679
120031680,Strathfield - East,1R040,Sydney,1,New South Wales,AUS,Australia,2.5414,http://linked.data.gov.au/dataset/asgsed3/SA2/120031680
120031681,Strathfield - West,1R040,Sydney,1,New South Wales,AUS,Australia,3.9101,http://linked.data.gov.au/dataset/asgsed3/SA2/120031681
124031457,Cambridge Park,1R040,Sydney,1,New South Wales,AUS,Australia,6.5871,http://linked.data.gov.au/dataset/asgsed3/SA2/124031457
124031459,Emu Plains - Leonay,1R040,Sydney,1,New South Wales,AUS,Australia,13.794,http://linked.data.gov.au/dataset/asgsed3/SA2/124031459
124031460,Glenmore Park - Regentville,1R040,Sydney,1,New South Wales,AUS,Australia,9.233,http://linked.data.gov.au/dataset/asgsed3/SA2/124031460
124031461,Jamisontown - South Penrith,1R040,Sydney,1,New South Wales,AUS,Australia,9.0181,http://linked.data.gov.au/dataset/asgsed3/SA2/124031461
124031462,Kingswood - Werrington,1R040,Sydney,1,New South Wales,AUS,Australia,14.023,http://linked.data.gov.au/dataset/asgsed3/SA2/124031462
124031463,Mulgoa - Luddenham - Orchard Hills,1R040,Sydney,1,New South Wales,AUS,Australia,158.6777,http://linked.data.gov.au/dataset/asgsed3/SA2/124031463
124031464,Penrith,1R040,Sydney,1,New South Wales,AUS,Australia,10.3945,http://linked.data.gov.au/dataset/asgsed3/SA2/124031464
124031465,Warragamba - Silverdale,1R040,Sydney,1,New South Wales,AUS,Australia,63.6142,http://linked.data.gov.au/dataset/asgsed3/SA2/124031465
124031707,Cranebrook - Castlereagh,1R040,Sydney,1,New South Wales,AUS,Australia,48.9014,http://linked.data.gov.au/dataset/asgsed3/SA2/124031707
124031708,Jordan Springs - Llandilo,1R040,Sydney,1,New South Wales,AUS,Australia,22.616,http://linked.data.gov.au/dataset/asgsed3/SA2/124031708
124041466,Richmond - Clarendon,1R040,Sydney,1,New South Wales,AUS,Australia,74.6728,http://linked.data.gov.au/dataset/asgsed3/SA2/124041466
124041467,Windsor - Bligh Park,1R040,Sydney,1,New South Wales,AUS,Australia,22.73,http://linked.data.gov.au/dataset/asgsed3/SA2/124041467
124041468,Yarramundi - Londonderry,1R040,Sydney,1,New South Wales,AUS,Australia,81.4358,http://linked.data.gov.au/dataset/asgsed3/SA2/124041468
124051469,Erskine Park,1R040,Sydney,1,New South Wales,AUS,Australia,8.3944,http://linked.data.gov.au/dataset/asgsed3/SA2/124051469
125031480,Fairfield - East,1R040,Sydney,1,New South Wales,AUS,Australia,5.7115,http://linked.data.gov.au/dataset/asgsed3/SA2/125031480
125031483,Guildford - South Granville,1R040,Sydney,1,New South Wales,AUS,Australia,6.7962,http://linked.data.gov.au/dataset/asgsed3/SA2/125031483
125031484,Guildford West - Merrylands West,1R040,Sydney,1,New South Wales,AUS,Australia,5.4654,http://linked.data.gov.au/dataset/asgsed3/SA2/125031484
125031486,Smithfield Industrial,1R040,Sydney,1,New South Wales,AUS,Australia,4.3017,http://linked.data.gov.au/dataset/asgsed3/SA2/125031486
125031487,Yennora Industrial,1R040,Sydney,1,New South Wales,AUS,Australia,2.0787,http://linked.data.gov.au/dataset/asgsed3/SA2/125031487
125031713,Greystanes - South,1R040,Sydney,1,New South Wales,AUS,Australia,5.6504,http://linked.data.gov.au/dataset/asgsed3/SA2/125031713
125031714,Merrylands - Holroyd,1R040,Sydney,1,New South Wales,AUS,Australia,4.9525,http://linked.data.gov.au/dataset/asgsed3/SA2/125031714
125031715,Pemulwuy - Greystanes (North),1R040,Sydney,1,New South Wales,AUS,Australia,7.3982,http://linked.data.gov.au/dataset/asgsed3/SA2/125031715
125031716,South Wentworthville,1R040,Sydney,1,New South Wales,AUS,Australia,1.7661,http://linked.data.gov.au/dataset/asgsed3/SA2/125031716
125041489,North Parramatta,1R040,Sydney,1,New South Wales,AUS,Australia,7.0608,http://linked.data.gov.au/dataset/asgsed3/SA2/125041489
125041490,North Rocks,1R040,Sydney,1,New South Wales,AUS,Australia,5.3762,http://linked.data.gov.au/dataset/asgsed3/SA2/125041490
125041491,Northmead,1R040,Sydney,1,New South Wales,AUS,Australia,5.9331,http://linked.data.gov.au/dataset/asgsed3/SA2/125041491
125041493,Toongabbie - Constitution Hill,1R040,Sydney,1,New South Wales,AUS,Australia,7.4795,http://linked.data.gov.au/dataset/asgsed3/SA2/125041493
125041494,Winston Hills,1R040,Sydney,1,New South Wales,AUS,Australia,4.3479,http://linked.data.gov.au/dataset/asgsed3/SA2/125041494
125041588,Pendle Hill - Girraween,1R040,Sydney,1,New South Wales,AUS,Australia,4.4615,http://linked.data.gov.au/dataset/asgsed3/SA2/125041588
125041589,Wentworthville - Westmead,1R040,Sydney,1,New South Wales,AUS,Australia,3.9355,http://linked.data.gov.au/dataset/asgsed3/SA2/125041589
125041717,Parramatta - North,1R040,Sydney,1,New South Wales,AUS,Australia,2.2343,http://linked.data.gov.au/dataset/asgsed3/SA2/125041717
124051470,St Clair,1R040,Sydney,1,New South Wales,AUS,Australia,7.2035,http://linked.data.gov.au/dataset/asgsed3/SA2/124051470
124051580,Colyton - Oxley Park,1R040,Sydney,1,New South Wales,AUS,Australia,4.6521,http://linked.data.gov.au/dataset/asgsed3/SA2/124051580
124051581,St Marys - North St Marys,1R040,Sydney,1,New South Wales,AUS,Australia,12.8646,http://linked.data.gov.au/dataset/asgsed3/SA2/124051581
125011475,Rookwood Cemetery,1R040,Sydney,1,New South Wales,AUS,Australia,3.015,http://linked.data.gov.au/dataset/asgsed3/SA2/125011475
125011582,Auburn - Central,1R040,Sydney,1,New South Wales,AUS,Australia,3.7326,http://linked.data.gov.au/dataset/asgsed3/SA2/125011582
125011583,Auburn - North,1R040,Sydney,1,New South Wales,AUS,Australia,2.0966,http://linked.data.gov.au/dataset/asgsed3/SA2/125011583
125011584,Auburn - South,1R040,Sydney,1,New South Wales,AUS,Australia,2.4313,http://linked.data.gov.au/dataset/asgsed3/SA2/125011584
125011585,Berala,1R040,Sydney,1,New South Wales,AUS,Australia,2.0865,http://linked.data.gov.au/dataset/asgsed3/SA2/125011585
125011586,Lidcombe,1R040,Sydney,1,New South Wales,AUS,Australia,6.4036,http://linked.data.gov.au/dataset/asgsed3/SA2/125011586
125011587,Regents Park,1R040,Sydney,1,New South Wales,AUS,Australia,2.0325,http://linked.data.gov.au/dataset/asgsed3/SA2/125011587
125011709,Silverwater - Newington,1R040,Sydney,1,New South Wales,AUS,Australia,3.934,http://linked.data.gov.au/dataset/asgsed3/SA2/125011709
125011710,Wentworth Point - Sydney Olympic Park,1R040,Sydney,1,New South Wales,AUS,Australia,7.3279,http://linked.data.gov.au/dataset/asgsed3/SA2/125011710
125021477,Ermington - Rydalmere,1R040,Sydney,1,New South Wales,AUS,Australia,9.8655,http://linked.data.gov.au/dataset/asgsed3/SA2/125021477
125021478,Oatlands - Dundas Valley,1R040,Sydney,1,New South Wales,AUS,Australia,6.0763,http://linked.data.gov.au/dataset/asgsed3/SA2/125021478
125021711,Carlingford - East,1R040,Sydney,1,New South Wales,AUS,Australia,3.7288,http://linked.data.gov.au/dataset/asgsed3/SA2/125021711
125021712,Carlingford - West,1R040,Sydney,1,New South Wales,AUS,Australia,6.0167,http://linked.data.gov.au/dataset/asgsed3/SA2/125021712
125031479,Chester Hill - Sefton,1R040,Sydney,1,New South Wales,AUS,Australia,7.2676,http://linked.data.gov.au/dataset/asgsed3/SA2/125031479
121041689,Mosman - South,1R040,Sydney,1,New South Wales,AUS,Australia,5.3672,http://linked.data.gov.au/dataset/asgsed3/SA2/121041689
122011418,Balgowlah - Clontarf - Seaforth,1R040,Sydney,1,New South Wales,AUS,Australia,7.6104,http://linked.data.gov.au/dataset/asgsed3/SA2/122011418
122011419,Manly - Fairlight,1R040,Sydney,1,New South Wales,AUS,Australia,6.7351,http://linked.data.gov.au/dataset/asgsed3/SA2/122011419
122021420,Avalon - Palm Beach,1R040,Sydney,1,New South Wales,AUS,Australia,8.6057,http://linked.data.gov.au/dataset/asgsed3/SA2/122021420
122021421,Bayview - Elanora Heights,1R040,Sydney,1,New South Wales,AUS,Australia,64.583,http://linked.data.gov.au/dataset/asgsed3/SA2/122021421
122021422,Newport - Bilgola,1R040,Sydney,1,New South Wales,AUS,Australia,5.798,http://linked.data.gov.au/dataset/asgsed3/SA2/122021422
122021690,Mona Vale - Warriewood (North),1R040,Sydney,1,New South Wales,AUS,Australia,6.4617,http://linked.data.gov.au/dataset/asgsed3/SA2/122021690
122021691,North Narrabeen - Warriewood (South),1R040,Sydney,1,New South Wales,AUS,Australia,5.201,http://linked.data.gov.au/dataset/asgsed3/SA2/122021691
122031424,Beacon Hill - Narraweena,1R040,Sydney,1,New South Wales,AUS,Australia,4.3406,http://linked.data.gov.au/dataset/asgsed3/SA2/122031424
122031425,Cromer,1R040,Sydney,1,New South Wales,AUS,Australia,7.4915,http://linked.data.gov.au/dataset/asgsed3/SA2/122031425
122031427,Forestville - Killarney Heights,1R040,Sydney,1,New South Wales,AUS,Australia,8.9311,http://linked.data.gov.au/dataset/asgsed3/SA2/122031427
122031429,Freshwater - Brookvale,1R040,Sydney,1,New South Wales,AUS,Australia,7.1838,http://linked.data.gov.au/dataset/asgsed3/SA2/122031429
122031430,Manly Vale - Allambie Heights,1R040,Sydney,1,New South Wales,AUS,Australia,9.3541,http://linked.data.gov.au/dataset/asgsed3/SA2/122031430
122031432,Terrey Hills - Duffys Forest,1R040,Sydney,1,New South Wales,AUS,Australia,70.5438,http://linked.data.gov.au/dataset/asgsed3/SA2/122031432
